epoch,lr,train_loss,train_psnr,train_ssim,val_loss,val_psnr,val_ssim,epoch_time_s,elapsed_min
1,0.001,79.70021486282349,20.299785137176514,0.4338073724138667,74.9283218383789,25.071675300598145,0.6360938549041748,17.542428147047758,0.2923741548632582
2,0.001,72.97548389434814,27.024515748023987,0.723977729678154,71.32522964477539,28.674772262573242,0.7848978340625763,14.410837102681398,0.5325710324570536
3,0.001,70.68776941299438,29.312230348587036,0.8038419485092163,70.48017883300781,29.519822120666504,0.7625678181648254,14.673545833677053,0.7771460899462302
4,0.001,68.99182367324829,31.008176565170288,0.8368538431823254,69.28215408325195,30.717845916748047,0.8624426126480103,14.507681023329496,1.0189569604893525
5,0.001,68.06789064407349,31.932109117507935,0.8740115463733673,68.19863510131836,31.801366806030273,0.8649643063545227,14.63370979577303,1.2628680880491931
6,0.001,67.9116530418396,32.088345527648926,0.8939293175935745,66.67107391357422,33.328927993774414,0.8895516395568848,14.328218542039394,1.5016891591871777
7,0.001,67.14107990264893,32.85892045497894,0.8996741250157356,68.44087600708008,31.559123039245605,0.89154914021492,14.373592305928469,1.74126461284856
8,0.001,67.38486289978027,32.615137457847595,0.9005525000393391,68.57960891723633,31.42039394378662,0.9052992761135101,14.5735904276371,1.984174591799577
9,0.001,66.77328681945801,33.22671437263489,0.9119211845099926,67.6722297668457,32.3277702331543,0.9093193709850311,14.288787685334682,2.222336488900085
10,0.001,66.1562876701355,33.84371256828308,0.9189239777624607,65.89937210083008,34.100629806518555,0.9200327396392822,14.102415814995766,2.457392279803753
11,0.0001,64.66392827033997,35.33607244491577,0.924907099455595,65.16833877563477,34.831661224365234,0.9227467775344849,14.146267548203468,2.693179875984788
12,0.0001,64.32492971420288,35.67507004737854,0.9248250834643841,65.12614440917969,34.87385559082031,0.9172949194908142,14.33146421611309,2.932054050763448
13,0.0001,64.14161658287048,35.858383655548096,0.9275772348046303,65.1610336303711,34.838966369628906,0.9219080805778503,14.548061206936836,3.174540181830525
14,0.0001,64.19143652915955,35.808562994003296,0.9269706308841705,64.97494888305664,35.02504920959473,0.9249702394008636,14.621642511337996,3.4182494605580964
15,0.0001,64.06755208969116,35.93244743347168,0.9286593943834305,64.85142517089844,35.14857482910156,0.923416942358017,14.538489811122417,3.6605737128605447
16,0.0001,63.98301649093628,36.0169837474823,0.9296094700694084,64.71864700317383,35.281354904174805,0.9238950610160828,14.120470687747002,3.8959311235075194
17,0.0001,63.89334273338318,36.10665702819824,0.9300092272460461,64.61016082763672,35.38983726501465,0.9242763519287109,14.420011825859547,4.136280546585719
18,0.0001,63.84359002113342,36.156410217285156,0.9317044056952,64.7030258178711,35.29697799682617,0.924522876739502,14.596018593758345,4.37956310218821
19,0.0001,63.72633695602417,36.27366256713867,0.9330181106925011,64.79705810546875,35.20294189453125,0.9286379218101501,14.097722433507442,4.614540956914425
20,0.0001,63.73073983192444,36.26926016807556,0.9323927871882915,64.69169616699219,35.30830764770508,0.9278637170791626,14.200740821659565,4.851235997428497
21,1e-05,63.661099672317505,36.338900566101074,0.9320290014147758,64.4994888305664,35.50050926208496,0.9270651936531067,14.675783026963472,5.095847800808648
22,1e-05,63.594913721084595,36.40508580207825,0.9325064234435558,64.3017578125,35.6982421875,0.9291183352470398,14.380565874278545,5.335540855489671
23,1e-05,63.592214584350586,36.407784938812256,0.9329783357679844,64.47437286376953,35.52562713623047,0.9277263879776001,14.10863933712244,5.570701353562375
24,1e-05,63.60037446022034,36.39962601661682,0.9329751841723919,64.51933288574219,35.48066711425781,0.9255545139312744,14.365680992603302,5.810146769012014
25,1e-05,63.610788345336914,36.38921141624451,0.9325763620436192,64.48025131225586,35.51974868774414,0.9261877834796906,14.540181793272495,6.0524981631586945
26,1e-05,63.51568865776062,36.48431158065796,0.9329483099281788,64.46104431152344,35.53895568847656,0.9275037050247192,14.485075078904629,6.293932464097937
27,1e-05,63.60840702056885,36.39159297943115,0.9321949630975723,64.39513397216797,35.6048641204834,0.9290178120136261,14.490786846727133,6.535460554373761
28,1e-05,63.55926275253296,36.44073724746704,0.9324486553668976,64.49424743652344,35.505754470825195,0.9256690442562103,14.857956372201443,6.783107919183871
29,1e-05,63.50525116920471,36.494749307632446,0.9336941093206406,64.22871780395508,35.771284103393555,0.9306366741657257,13.950141925364733,7.01562466006726
30,1e-05,63.51239323616028,36.48760676383972,0.933936320245266,64.30319404602051,35.69680595397949,0.926588624715805,14.494063325226307,7.257208593686422
31,1.0000000000000002e-06,63.533945083618164,36.466055393218994,0.932975098490715,64.35191917419434,35.648080825805664,0.92758509516716,14.404941268265247,7.497307815402746
32,1.0000000000000002e-06,63.53676748275757,36.46323251724243,0.9329173713922501,64.33052253723145,35.66947555541992,0.9287034273147583,14.567547034472227,7.740115797892213
33,1.0000000000000002e-06,63.457876682281494,36.54212307929993,0.9339109435677528,64.32051277160645,35.67948532104492,0.9279156029224396,14.322403222322464,7.978836663812399
34,1.0000000000000002e-06,63.544849157333374,36.455150842666626,0.9329973198473454,64.54927444458008,35.45072364807129,0.927597850561142,14.125753842294216,8.214282186950246
35,1.0000000000000002e-06,63.549070596694946,36.450929164886475,0.9331816732883453,64.49607849121094,35.503923416137695,0.9267809092998505,14.058863904327154,8.448612715490162
36,1.0000000000000002e-06,63.44393968582153,36.55605983734131,0.9348150342702866,64.4533576965332,35.54664421081543,0.9294635951519012,14.221884287893772,8.6856618249168
37,1.0000000000000002e-06,63.50783133506775,36.49216866493225,0.933368381112814,64.38012504577637,35.61987495422363,0.9262953400611877,14.491386789828539,8.927200012281537
38,1.0000000000000002e-06,63.54619908332825,36.45380115509033,0.9326535724103451,64.36079978942871,35.639198303222656,0.928721010684967,14.356033477932215,9.1664836300537
39,1.0000000000000002e-06,63.46134114265442,36.538658618927,0.9343639016151428,64.39949035644531,35.60050964355469,0.9265427887439728,14.579369708895683,9.409488758506875
40,1.0000000000000002e-06,63.476757287979126,36.52324295043945,0.9329565092921257,64.38532257080078,35.61467742919922,0.9268759191036224,14.240609277039766,9.646847505681217
